'So', 'far', 'and', 'wide', 'depends'
'Drinks', 'drugs', 'and', 'distractions', 'are'
'Washing', 'machine', 'and', 'washing', 'machine'
'Rain', 'check', 'and', 'raincheck', ''
'Lady', 'bug', 'and', 'Ladybug', ''
'War', 'tea', 'and', 'Warranty', ''
'Oxy', 'moron', 'and', 'oxymoron', ''
'Seed', 'ling', 'and', 'seedling', ''
'Back', 'log', 'and', 'backlog', ''
'Price', 'less', 'and', 'priceless', ''
'Sugar', 'daddy', 'and', 'sugar', 'daddy'
'Trophy', 'wife', 'and', 'trophy', 'wife'
'Pain', 'killer', 'and', 'painkiller', ''
'Brat', 'worst', 'and', 'bratwurst', ''
'Birth', 'mark', 'and', 'birthmark', ''
'More', 'fine', 'and', 'morphine', ''
'Wo', 'man', 'and', 'woman', ''
'Just', 'ice', 'and', 'justice', ''
'Life', 'size', 'and', 'life', ''
'Quest', 'ions', 'and', 'questions', ''
'Yes', 'you', 'and', 'labels', ''
'Bland', 'direct', 'and', 'straight', ''
'Die', 'Sel', 'and', 'diesel', ''
'Pet', 'rol', 'and', 'petrol', ''
'To', 'wed', 'and', 'towed', ''
'Pot', 'head', 'and', 'pothead', ''
'Hook', 'up', 'and', 'hook', 'up'
'In', 'vent', 'and', 'invent', ''
'Can', 'did', 'and', 'candid', ''
'Con', 'tact', 'and', 'contact', ''
'Writ', 'er', 'and', 'writer', ''
'Ven', 'ue', 'and', 'venue', ''
'He', 'at', 'and', 'heat', ''
